label,volume_um3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,solidity,extent,major_axis,intermediate_axis,minor_axis,elongation_ratio1,elongation_ratio2,sphericity,timepoint
1,549.167932829,22.881699892158373,90.32950839624094,41.250444615621625,16.243,86.483,37.315,29.413,94.824,46.534,0.9152566271855612,0.5422723475355055,12.39698202094265,8.5588866132956,7.307581505927252,0.6904008248811507,0.5894645562591203,0.9646609872272308,0
2,1358.240948026,22.627149433163073,103.41105219882895,47.89538127569453,15.365,96.58,39.071,30.291,109.75,58.826,0.6633884297520661,0.349760348583878,22.85481642274706,13.062859389454552,9.155142438488408,0.5715582723496865,0.40057825314126916,0.7259880112479649,0
3,3117.168898036,22.989092172402565,86.30917058408424,74.74598159808924,14.487,77.264,53.119,30.73,94.824,96.58,0.4814824494916495,0.25146055146055146,45.79749036042966,13.438479471668282,12.772825683844134,0.2934326611765502,0.278897939239051,0.5331912237405547,0
4,1494.200410059,21.949353717230053,46.98478223203669,86.58155812241662,14.926,40.388,76.825,28.535,53.558,95.702,0.699667221297837,0.44163540885221303,21.015752612975007,12.780652753068548,10.62034418714008,0.6081463266358514,0.5053515989992735,0.765641613212848,0
5,775.400416635,22.275765302782325,69.34973769776323,89.87103578832514,15.365,62.777,84.727,28.096,76.386,96.58,0.8826078582434514,0.3775800271907057,15.035358018998878,11.63992328383785,6.465132035057334,0.7741700110585654,0.4299952170668571,0.8666974898363127,0
6,241.715110783,20.581831991599582,58.26438116905845,110.3992037101855,14.926,54.875,107.555,25.901,62.777,114.14,0.863141993957704,0.4232592592592593,10.44539223651504,6.805420101657342,5.010095554231297,0.6515236524930993,0.47964647385064074,0.9141738831443176,0
7,697.225841079,23.115126562310397,88.66548149496421,113.30536197063462,15.804,83.41,108.872,29.852,94.824,118.53,0.8875605815831987,0.450229458041958,13.47786967988868,10.624274866374487,7.092964730260475,0.7882755300882415,0.526267496178896,0.9055717113156699,0
8,939.1101609,20.813504144144144,40.74885009009009,113.8979172072072,14.048,34.242,109.311,27.657,48.729,120.725,0.8056321672231093,0.417324610872998,15.17166847577334,13.12979451566152,7.414966546190083,0.8654153323101966,0.48873771253508247,0.8398426835336441,0
9,120.392230537,16.458643710470838,94.0104771609276,125.30442094167253,12.292,91.751,121.603,20.633,97.019,128.188,0.8613801452784504,0.4160818713450292,7.791727864887812,5.445201476432615,4.198781807390178,0.6988438984080224,0.5388768550697624,0.9431963683505037,0
10,837.500133581,22.99266380442469,84.57626144054954,127.16768754419638,14.926,79.02,122.481,30.291,90.434,132.578,0.8802240796727725,0.4729574773053034,14.994206917375136,10.028724530537362,8.109127504210514,0.6688399450401192,0.5408173669268055,0.9121404572206637,0
