label,volume_um3,centroid_z,centroid_y,centroid_x,bbox_min_z,bbox_min_y,bbox_min_x,bbox_max_z,bbox_max_y,bbox_max_x,solidity,extent,major_axis,intermediate_axis,minor_axis,elongation_ratio1,elongation_ratio2,sphericity
1,3242.1297725990003,21.874574619660237,98.78293891077999,45.382376790793565,10.097,85.166,34.242,34.242,111.94500000000001,59.704,0.43930987045741143,0.1969320108947017,31.227439745351145,20.917939907839454,13.45985755374976,0.6698576661557253,0.43102661196403524,0.5191576720116887
2,7321.421260703,22.396746432161965,81.60668943919941,78.14243627581266,10.975,60.582,53.558,33.803,95.702,98.775,0.36691074525233935,0.20196275205377148,53.80085152246741,25.283237954641564,18.717612470151316,0.46994122284631873,0.3479055059627593,0.45366431130206764
3,2897.027939598,21.737333333333332,46.663871794871795,86.79898717948717,10.975,37.754,75.069,33.803,54.875,98.775,0.5291854049793685,0.3126780626780627,25.983766675099886,17.318288750512927,13.087804714702735,0.6665041665075048,0.503691588611928,0.5997406344653766
4,574.210870453,19.452221305436865,57.80912671283336,110.03570251952262,10.975,51.363,104.921,28.096,63.216,115.018,0.6053335711737424,0.2802345266113382,16.071643735908445,10.18344849116718,6.335912068238588,0.6336283119824622,0.3942292507444293,0.6511651459459981
5,1949.6265358360001,21.011895634438467,39.231386261065786,114.6516205519875,10.536,30.291,106.677,33.803,49.168,122.042,0.6372611376897763,0.2888986397542782,23.031769197917658,17.60684077751187,8.301619383253092,0.7644588926804518,0.3604421055071903,0.635613633019276
6,1235.733604514,23.2988595097905,88.5591880733945,113.86483602629056,13.17,80.776,107.116,34.681,94.824,122.042,0.6381231159072044,0.2739720888355342,21.493379389625176,12.086270855152724,8.214488025572912,0.5623252926427544,0.38218689935460004,0.6570162900614308
7,67.429801643,27.250498117942282,123.53250690087829,119.32978419071519,22.389,121.164,117.213,31.608,125.993,122.042,0.6663879598662207,0.3136560409287682,7.792978562884861,5.182470718573378,2.9108519439672307,0.6650179615860374,0.373522385629362,0.7454881247350691
8,1874.074700369,21.729142431492935,85.17234192587242,126.93033664394383,10.975,75.508,120.286,34.242,97.458,134.334,0.5382335074717531,0.2612146226415094,24.57213197156137,17.582014236333244,8.88003110216458,0.715526607812535,0.3613862693087401,0.577377773042959
9,1089.113973087,30.11670271110075,136.8169264351744,130.946712421347,20.633,127.749,125.993,39.949,144.431,137.407,0.6486445631361484,0.2961216415163784,19.436457331714145,12.28609705639461,7.8256712356790885,0.6321160717054949,0.402628478128577,0.6798829708134726
10,5736.270992719,18.772289037034852,115.81535598295011,145.72762370761495,4.39,89.556,132.139,39.51,134.773,166.82,0.340416024421226,0.10415540125353324,58.42432663243919,31.98605738692165,11.08774433408758,0.5474784089195115,0.1897795828070577,0.3914232635068753
11,3187.813671401,19.836405902492107,77.48465927970487,144.73552355423445,10.536,64.094,137.846,32.047,90.434,154.967,0.5979464880820136,0.3286150357578929,25.24957329797563,18.835927862357433,13.22945609101966,0.7459899476347821,0.5239477093294216,0.6544867112919649
